input_name,utmb_index,utmb_match_name,utmb_match_score,utmb_profile_url,itra_score,itra_match_name,itra_match_score,itra_profile_url,combined_score,notes
BLANDINE POCHET,0.0,Blandine POCHET,1.0,https://utmb.world/runner/152963.blandine.pochet,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Grégory BELLIN,,,,,,,,,0.0,UTMB not found; ITRA not found
Thibault Charron,0.0,Thibault CHARRON,1.0,https://utmb.world/runner/8022610.thibault.charron,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
HUGo Larribeau,,,,,,,,,0.0,UTMB not found; ITRA not found
Cyril Nicid,,,,,,,,,0.0,UTMB not found; ITRA not found
Sacha MOJICEVIC,,,,,,,,,0.0,UTMB not found; ITRA not found
Martin DECLERCQ,,,,,,,,,0.0,UTMB not found; ITRA not found
armand sharonizadeh,0.0,Armand SHARONIZADEH,1.0,https://utmb.world/runner/85028.armand.sharonizadeh,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Matthieu CHATEL,0.0,Matthieu CHATEL,1.0,https://utmb.world/runner/84930.matthieu.chatel,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Louis Bernede,,,,,,,,,0.0,UTMB not found; ITRA not found
Romain FOUCHER,0.0,Romain FOUCHER,1.0,https://utmb.world/runner/7655562.romain.foucher,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Guihaume Petrou,,,,,,,,,0.0,UTMB not found; ITRA not found
Anthony Serpry,0.0,Anthony SERPRY,1.0,https://utmb.world/runner/616260.anthony.serpry,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Solène Fontaine,,,,,,,,,0.0,UTMB not found; ITRA not found
Julien PITARD,0.0,Julien PITARD,1.0,https://utmb.world/runner/2087443.julien.pitard,,,,,0.0,ITRA skipped because UTMB 0.0 <= threshold 680.0
Ewen Le Buhan,,,,,,,,,0.0,UTMB not found; ITRA not found
Tim LEQUEUX,,,,,,,,,0.0,UTMB not found; ITRA not found
Alan Houdeau,,,,,,,,,0.0,UTMB not found; ITRA unavailable: ITRA lookup failed: /api/runner/find HTTP 403; /api/runner/findByName HTTP 403
